,Ship Mode,Segment,Market,Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
39,First Class,Consumer,LATAM,Office Supplies,2443.48,13,0.0,121.94,589.29,Medium
40,Second Class,Consumer,Africa,Furniture,3808.8,8,0.0,1523.52,588.13,High
41,Second Class,Consumer,EU,Technology,3441.69,6,0.1,38.07,585.25,High
42,Second Class,Consumer,APAC,Technology,2863.35,5,0.1,858.9,581.88,Critical
43,Second Class,Home Office,APAC,Technology,3200.04,9,0.0,1183.95,576.71,Medium
44,Same Day,Consumer,APAC,Furniture,2301.0,5,0.0,91.95,573.27,Critical
45,Second Class,Corporate,Africa,Technology,5301.24,14,0.0,2597.28,568.45,Medium
46,Second Class,Consumer,US,Office Supplies,5443.96,4,0.0,2504.2216,567.95,High
47,Standard Class,Consumer,EU,Technology,3219.9,5,0.0,965.85,564.25,Low
48,Same Day,Home Office,Africa,Office Supplies,2266.44,4,0.0,113.28,556.45,Medium
49,Same Day,Corporate,APAC,Technology,3068.361,9,0.1,1124.901,555.77,High
50,First Class,Consumer,APAC,Furniture,3728.43,9,0.0,1192.86,553.31,Medium
51,First Class,Consumer,APAC,Technology,1581.48,6,0.0,0.0,550.74,High
52,Second Class,Corporate,APAC,Technology,1916.73,3,0.0,498.33,548.4,Critical
53,First Class,Corporate,US,Furniture,1685.88,6,0.0,320.3172,548.08,Critical
54,Second Class,Corporate,Canada,Technology,3863.88,6,0.0,1159.02,546.56,Critical
55,First Class,Corporate,APAC,Furniture,2465.82,7,0.25,197.19,546.49,High
56,Same Day,Corporate,APAC,Furniture,1847.52,2,0.0,738.96,545.89,High
57,First Class,Consumer,EU,Furniture,2899.89,7,0.0,927.78,541.59,High
58,Second Class,Home Office,APAC,Furniture,2891.7,7,0.1,96.39,541.57,Medium
59,Second Class,Home Office,EU,Office Supplies,3155.544,7,0.1,34.944,539.94,High
60,Standard Class,Consumer,Africa,Technology,3856.14,6,0.0,1465.2,533.99,Low
61,Standard Class,Corporate,APAC,Technology,3524.472,6,0.1,861.372,531.28,Low
62,First Class,Corporate,LATAM,Technology,2556.0,6,0.0,178.92,530.49,Medium
63,Second Class,Consumer,EU,Technology,4448.832,8,0.15,1517.712,527.85,High
64,Standard Class,Home Office,US,Furniture,2036.86,7,0.0,366.6348,524.76,Low
65,First Class,Home Office,LATAM,Furniture,2472.66,9,0.0,914.76,523.47,High
66,Same Day,Consumer,APAC,Office Supplies,3739.176,8,0.1,747.816,522.79,High
67,Second Class,Consumer,EU,Furniture,1741.8,4,0.0,261.24,515.24,Critical
68,Second Class,Consumer,APAC,Office Supplies,3670.8,7,0.0,367.08,510.72,High
69,Standard Class,Consumer,US,Technology,2973.32,7,0.2,334.4985,510.18,High
70,Second Class,Consumer,EU,Technology,1900.95,5,0.0,589.2,506.89,High
71,Second Class,Corporate,EU,Furniture,4544.1,11,0.1,1868.13,506.27,Medium
72,First Class,Consumer,APAC,Furniture,1455.12,4,0.0,116.4,504.56,Critical
73,First Class,Consumer,APAC,Technology,1954.17,3,0.0,312.66,498.38,Critical
74,First Class,Consumer,US,Furniture,1628.82,9,0.0,260.6112,496.46,Critical
75,First Class,Consumer,APAC,Technology,2330.64,9,0.0,1025.46,492.79,Critical
76,Standard Class,Home Office,APAC,Furniture,3278.5848,8,0.07,140.8248,492.28,High
77,Same Day,Home Office,APAC,Technology,3741.5238,7,0.17,946.6338,491.91,High
78,First Class,Corporate,US,Furniture,1603.136,4,0.2,100.196,489.6,Critical
79,Standard Class,Consumer,APAC,Furniture,3637.602,10,0.07,156.402,487.86,High
80,First Class,Home Office,LATAM,Office Supplies,2455.88,7,0.0,785.82,487.48,Medium
81,First Class,Consumer,US,Furniture,2807.84,8,0.0,673.8816,487.15,High
82,Second Class,Consumer,US,Technology,4476.8,4,0.2,503.64,485.47,High
83,First Class,Home Office,LATAM,Technology,2297.96,14,0.0,988.12,483.26,High
84,Second Class,Corporate,EU,Technology,2671.41,7,0.0,534.24,483.04,High
85,First Class,Consumer,Africa,Technology,3834.0,6,0.0,268.38,481.04,High
86,Standard Class,Corporate,APAC,Office Supplies,3501.7368,8,0.17,210.8568,479.96,High
87,First Class,Home Office,APAC,Technology,1725.462,3,0.1,747.612,479.94,High
88,First Class,Consumer,APAC,Technology,1583.7,5,0.0,174.15,479.67,Critical
89,Second Class,Consumer,US,Furniture,1931.04,9,0.1,321.84,477.15,Critical
90,Standard Class,Corporate,APAC,Technology,3078.72,12,0.0,523.08,474.44,High
91,Second Class,Consumer,EU,Technology,3616.5,10,0.0,36.0,471.92,Critical
92,First Class,Corporate,US,Technology,3059.982,2,0.1,679.996,471.22,Medium
93,Standard Class,Consumer,APAC,Technology,2892.105,5,0.1,160.605,470.29,High
94,First Class,Consumer,EU,Technology,3263.4,5,0.0,848.4,469.29,High
95,Second Class,Consumer,US,Furniture,2396.2656,4,0.32,-317.1528,469.16,Critical
96,Standard Class,Corporate,LATAM,Furniture,3117.088,13,0.2,38.948,466.7,High
97,Standard Class,Consumer,US,Technology,4899.93,7,0.0,2400.9657,466.33,Medium
98,First Class,Consumer,APAC,Office Supplies,3000.78,6,0.0,1080.18,465.63,High
99,First Class,Corporate,EU,Office Supplies,3801.63,7,0.0,1444.59,465.02,Medium
100,Standard Class,Consumer,EMEA,Technology,5211.12,8,0.0,1146.24,463.98,Medium
101,Standard Class,Consumer,APAC,Office Supplies,3569.643,7,0.1,674.163,458.54,High
102,Standard Class,Consumer,APAC,Furniture,2910.0816,8,0.07,125.1216,456.32,High
103,Standard Class,Home Office,APAC,Furniture,3126.4002,9,0.27,-128.7198,455.71,High
104,Standard Class,Consumer,EU,Technology,5276.988,9,0.1,1758.888,454.81,Medium
105,First Class,Home Office,US,Technology,2399.6,8,0.0,647.892,449.45,High
106,First Class,Corporate,EU,Furniture,2291.814,7,0.1,127.134,448.91,High
107,Second Class,Consumer,LATAM,Technology,2124.5,5,0.0,488.6,447.66,High
108,Second Class,Home Office,EMEA,Furniture,2757.78,6,0.0,744.48,446.33,High
109,Same Day,Consumer,EU,Technology,1549.98,6,0.0,139.32,443.92,Critical
110,Second Class,Corporate,EMEA,Office Supplies,3146.4,6,0.0,629.28,443.55,Critical
111,Standard Class,Corporate,EU,Technology,2456.619,11,0.15,664.719,442.49,Low
112,Second Class,Corporate,US,Technology,2999.95,5,0.0,1439.976,439.69,High
113,First Class,Corporate,APAC,Office Supplies,4001.04,8,0.0,1440.24,439.65,Medium
114,Standard Class,Home Office,EU,Technology,4876.875,9,0.15,745.875,439.41,Medium
115,Standard Class,Home Office,APAC,Office Supplies,3622.29,7,0.0,1267.77,438.89,High
116,Standard Class,Corporate,EU,Technology,4453.05,7,0.0,1424.85,433.41,Medium
117,Standard Class,Consumer,APAC,Furniture,2673.36,8,0.0,1069.2,432.57,High
118,Standard Class,Consumer,APAC,Furniture,2046.195,5,0.1,591.045,432.15,High
119,Second Class,Consumer,EU,Furniture,5451.3,6,0.0,2071.44,432.13,Medium
120,Second Class,Home Office,US,Office Supplies,4535.976,3,0.2,1644.2913,431.68,Medium
121,Second Class,Consumer,APAC,Office Supplies,1722.2832,4,0.17,539.4432,430.04,Critical
122,First Class,Corporate,US,Technology,2575.944,7,0.2,257.5944,429.66,Medium
123,Standard Class,Corporate,US,Office Supplies,2934.33,7,0.0,792.2691,428.8,High
124,Second Class,Home Office,APAC,Office Supplies,4624.29,9,0.1,1644.03,427.46,Medium
125,Standard Class,Home Office,APAC,Office Supplies,4864.32,10,0.1,162.12,426.09,Medium
126,Standard Class,Consumer,US,Furniture,2154.9,5,0.0,129.294,426.05,High
127,First Class,Home Office,Africa,Office Supplies,2784.6,14,0.0,779.52,422.25,Critical
128,Standard Class,Consumer,EU,Furniture,3063.27,7,0.0,1470.21,419.38,Low
129,First Class,Home Office,US,Office Supplies,1606.23,9,0.0,481.869,418.26,High
130,Same Day,Consumer,US,Technology,1214.85,3,0.0,352.3065,417.47,Critical
131,First Class,Corporate,APAC,Technology,1521.0,4,0.0,0.0,416.74,High
132,Same Day,Consumer,EU,Office Supplies,2443.905,5,0.1,760.305,416.33,High
133,First Class,Home Office,APAC,Furniture,1094.22,3,0.0,328.23,411.06,Critical
134,First Class,Corporate,APAC,Furniture,1320.624,4,0.1,484.224,410.88,Critical
135,First Class,Consumer,APAC,Technology,2555.64,4,0.0,664.44,410.22,High
136,Second Class,Home Office,EMEA,Furniture,3498.72,8,0.0,594.72,410.05,Medium
137,First Class,Consumer,US,Technology,1439.976,4,0.4,191.9968,408.79,Critical
138,First Class,Consumer,APAC,Technology,2272.86,6,0.0,977.22,406.53,High
139,Standard Class,Consumer,APAC,Technology,5211.12,8,0.0,833.76,404.97,Medium
140,Standard Class,Home Office,APAC,Technology,2582.16,4,0.0,361.44,404.08,High
141,Standard Class,Home Office,APAC,Technology,3194.55,5,0.0,830.55,403.97,High
142,Second Class,Consumer,APAC,Furniture,1704.996,4,0.1,378.876,403.46,Critical
143,First Class,Corporate,APAC,Office Supplies,1538.721,6,0.15,325.701,403.26,High
144,Second Class,Home Office,EU,Furniture,1181.547,3,0.1,498.807,401.25,Critical
145,Standard Class,Home Office,US,Technology,3359.952,6,0.2,1049.985,400.6,High
146,Second Class,Home Office,Africa,Office Supplies,1237.56,4,0.0,606.36,400.03,Critical
147,First Class,Consumer,Africa,Technology,1274.7,2,0.0,140.16,399.96,Critical
148,Second Class,Consumer,LATAM,Office Supplies,3172.14,9,0.0,856.44,399.85,Medium
149,Standard Class,Consumer,US,Office Supplies,4305.552,6,0.2,1453.1238,398.64,Medium
150,Second Class,Corporate,EU,Office Supplies,3979.29,7,0.0,1989.54,398.5,Medium
151,First Class,Consumer,US,Furniture,1586.69,7,0.0,412.5394,397.52,High
152,Same Day,Home Office,US,Technology,2395.2,6,0.2,209.58,396.92,High
153,First Class,Consumer,US,Technology,1259.97,3,0.0,327.5922,394.57,Critical
154,Second Class,Consumer,APAC,Furniture,2539.8765,7,0.07,709.9365,393.58,High
155,First Class,Consumer,EU,Furniture,2898.21,7,0.0,1420.02,393.46,High
156,Standard Class,Corporate,APAC,Technology,4448.223,13,0.1,444.483,386.38,Medium
157,Second Class,Home Office,US,Furniture,1913.4,9,0.0,401.814,386.21,High
158,First Class,Consumer,LATAM,Technology,2300.616,9,0.4,38.196,386.0,High
159,Second Class,Home Office,Africa,Furniture,2615.94,6,0.0,1072.44,384.41,Critical
160,First Class,Consumer,APAC,Technology,1066.68,3,0.0,394.65,383.68,Critical
161,Second Class,Corporate,US,Furniture,3504.9,5,0.0,700.98,383.35,High
162,First Class,Corporate,Africa,Technology,2544.6,4,0.0,814.2,383.01,High
163,Standard Class,Corporate,APAC,Furniture,3694.68,4,0.0,886.68,382.77,High
164,Second Class,Home Office,APAC,Furniture,2214.849,7,0.3,-221.571,382.1,Critical
165,Second Class,Home Office,LATAM,Furniture,1236.48,4,0.0,111.28,381.22,Critical
166,First Class,Corporate,LATAM,Office Supplies,1805.9,5,0.0,126.4,381.14,Critical
167,Standard Class,Corporate,US,Office Supplies,2715.93,7,0.0,1276.4871,378.83,High
168,Standard Class,Consumer,LATAM,Office Supplies,1810.3,5,0.0,54.3,378.26,High
169,First Class,Consumer,LATAM,Technology,2120.5,5,0.0,106.0,377.7,Critical
170,Same Day,Consumer,APAC,Technology,1275.0,2,0.0,140.22,377.58,Critical
171,First Class,Corporate,EU,Furniture,1114.236,3,0.1,383.706,376.88,Critical
172,Standard Class,Consumer,EU,Technology,2944.08,5,0.1,1112.13,376.58,High
173,First Class,Consumer,APAC,Office Supplies,3309.2598,7,0.17,318.8598,374.8,High
174,First Class,Consumer,LATAM,Furniture,897.48,9,0.0,322.92,374.38,Critical
175,First Class,Consumer,EU,Furniture,2056.05,5,0.0,390.6,372.5,High
176,Standard Class,Corporate,LATAM,Technology,2365.6592,10,0.002,18.8592,372.32,High
177,Same Day,Consumer,APAC,Technology,1336.356,7,0.4,44.436,371.74,Critical
178,First Class,Consumer,APAC,Technology,3038.64,8,0.0,1245.84,371.51,High
179,Second Class,Consumer,EU,Office Supplies,2698.65,9,0.0,890.46,369.98,High
180,Standard Class,Corporate,Africa,Technology,3799.08,12,0.0,455.76,369.73,Medium
181,Standard Class,Consumer,APAC,Furniture,2756.34,6,0.0,413.28,369.4,High
182,Same Day,Home Office,APAC,Furniture,1719.807,5,0.27,117.657,368.44,High
183,First Class,Consumer,APAC,Office Supplies,1421.541,3,0.17,428.121,367.57,Critical
184,Same Day,Consumer,LATAM,Technology,1053.6884,5,0.002,441.2884,367.55,High
185,First Class,Consumer,EU,Technology,1440.84,8,0.5,-1268.04,367.35,Critical
186,Second Class,Corporate,APAC,Furniture,2544.372,6,0.1,621.792,366.89,Critical
187,Second Class,Consumer,US,Office Supplies,2625.12,8,0.0,735.0336,366.72,Medium
188,Same Day,Consumer,EMEA,Technology,1554.48,8,0.0,341.76,366.58,High
189,First Class,Consumer,LATAM,Technology,1278.0,3,0.0,89.46,365.9,High
190,Standard Class,Corporate,LATAM,Technology,3474.08,8,0.0,625.28,365.65,High
191,Second Class,Consumer,LATAM,Technology,2550.0,6,0.0,357.0,365.2,Medium
192,First Class,Consumer,US,Office Supplies,1101.48,4,0.0,429.5772,364.76,Critical
193,Second Class,Consumer,US,Office Supplies,1016.792,1,0.2,381.297,363.87,Critical
194,First Class,Corporate,US,Technology,1199.976,3,0.2,374.9925,363.78,High
195,Second Class,Corporate,Africa,Technology,3908.88,6,0.0,1563.48,363.16,Medium
196,Standard Class,Home Office,LATAM,Technology,2142.3,5,0.0,556.9,363.1,High
197,Second Class,Consumer,APAC,Office Supplies,1900.584,6,0.4,-348.516,360.04,High
198,First Class,Consumer,Africa,Office Supplies,1840.68,6,0.0,496.98,359.58,Critical
199,Standard Class,Consumer,EU,Furniture,2624.04,6,0.0,446.04,359.28,High
200,Second Class,Corporate,APAC,Furniture,3076.5,7,0.0,215.25,359.27,Medium
201,Second Class,Corporate,APAC,Technology,3181.7718,6,0.17,344.9718,359.09,Medium
202,First Class,Consumer,APAC,Furniture,1296.24,8,0.0,285.12,358.85,Critical
203,First Class,Consumer,APAC,Office Supplies,1682.91,3,0.0,487.98,358.51,Medium
204,First Class,Consumer,LATAM,Technology,1278.0,3,0.0,89.46,358.18,Critical
205,Second Class,Home Office,EMEA,Technology,2570.76,4,0.0,976.8,357.89,Medium
206,Standard Class,Home Office,LATAM,Furniture,2332.96,5,0.2,349.86,357.79,Low
207,Same Day,Home Office,APAC,Furniture,1582.2,6,0.4,-870.3,357.21,Critical
208,Second Class,Corporate,US,Office Supplies,1801.632,6,0.2,-337.806,356.88,High
209,Second Class,Corporate,APAC,Furniture,1512.0,6,0.0,498.96,356.84,Critical
210,First Class,Consumer,Africa,Technology,2550.0,4,0.0,714.0,355.92,Medium
211,First Class,Consumer,US,Technology,2025.36,6,0.2,607.608,355.61,High
212,First Class,Home Office,EU,Furniture,2285.7,5,0.0,845.7,355.06,High
213,Standard Class,Consumer,APAC,Technology,5751.54,9,0.0,2817.99,353.85,Medium
214,First Class,Home Office,EU,Furniture,2442.069,7,0.1,-244.251,353.57,High
215,Same Day,Home Office,APAC,Office Supplies,1190.52,6,0.0,178.56,353.42,Critical
216,Standard Class,Consumer,EU,Office Supplies,3150.819,7,0.1,-35.091,353.04,Medium
217,Same Day,Home Office,EU,Technology,1599.9,5,0.0,719.85,352.79,Critical
218,Standard Class,Corporate,APAC,Furniture,2063.4,5,0.0,123.75,352.64,Low
219,First Class,Home Office,EMEA,Office Supplies,1269.9,6,0.0,558.72,352.52,High
220,Standard Class,Corporate,APAC,Furniture,3274.02,9,0.0,261.9,351.08,Medium
221,Standard Class,Consumer,US,Technology,3080.0,7,0.0,1416.8,351.01,High
222,First Class,Consumer,EU,Technology,2847.36,8,0.0,711.84,350.68,High
223,Second Class,Home Office,APAC,Furniture,1725.75,5,0.25,-483.3,350.68,Critical
224,Same Day,Consumer,APAC,Technology,1479.3138,6,0.07,-63.6462,350.31,High
225,Standard Class,Corporate,US,Technology,4899.93,7,0.0,2302.9671,350.09,Medium
226,Second Class,Consumer,APAC,Technology,1282.23,9,0.0,12.69,349.88,Critical
227,Standard Class,Consumer,Africa,Furniture,2478.6,6,0.0,49.5,349.87,High
228,Same Day,Corporate,APAC,Technology,959.76,3,0.0,460.62,348.48,Critical
229,Standard Class,Home Office,APAC,Office Supplies,4135.641,10,0.17,847.041,348.08,Medium
230,Second Class,Consumer,LATAM,Furniture,2325.28,8,0.0,511.52,347.82,High
231,Standard Class,Consumer,APAC,Furniture,5486.67,14,0.1,2316.51,346.6,Medium
232,First Class,Home Office,EU,Office Supplies,1523.664,8,0.1,-50.976,345.81,High
233,Second Class,Corporate,EU,Technology,1625.2425,3,0.15,-76.5675,345.78,Critical
234,Second Class,Corporate,US,Technology,1319.96,4,0.0,527.984,345.77,Critical
235,Standard Class,Home Office,US,Furniture,2065.32,12,0.4,-619.596,344.98,High
236,First Class,Corporate,US,Furniture,1552.831,7,0.15,200.9546,343.97,High
237,First Class,Consumer,LATAM,Office Supplies,2461.06,7,0.0,566.02,343.81,High
238,Standard Class,Consumer,US,Technology,2939.93,7,0.0,764.3818,343.25,High
239,First Class,Consumer,APAC,Technology,1226.19,7,0.0,612.99,340.09,Critical
240,First Class,Consumer,APAC,Furniture,1809.255,5,0.3,-258.495,339.47,High
241,First Class,Corporate,APAC,Technology,1863.0,8,0.1,393.24,339.06,High
242,Standard Class,Consumer,US,Technology,4548.81,7,0.0,1228.1787,338.56,High
243,First Class,Consumer,EU,Office Supplies,1244.187,7,0.1,-13.923,338.33,Critical
244,Second Class,Consumer,EU,Furniture,2364.102,4,0.35,-218.298,338.1,Medium
245,First Class,Corporate,EU,Technology,1946.313,6,0.15,114.453,337.93,High
246,First Class,Consumer,US,Office Supplies,895.92,5,0.2,302.373,337.16,High
247,First Class,Corporate,EU,Office Supplies,2283.714,9,0.1,-0.216,337.07,High
248,First Class,Consumer,Africa,Technology,2549.76,4,0.0,1172.88,336.65,Medium
249,Second Class,Home Office,APAC,Technology,3299.562,14,0.1,366.282,336.02,Medium
250,Standard Class,Consumer,EU,Office Supplies,2489.4,9,0.0,273.78,335.95,High
251,Standard Class,Consumer,US,Furniture,3406.664,8,0.15,160.3136,335.64,Medium
252,Second Class,Home Office,US,Technology,999.98,2,0.0,449.991,334.26,Critical
253,First Class,Home Office,EU,Furniture,1189.242,9,0.1,250.992,334.23,High
254,First Class,Home Office,US,Technology,2879.952,6,0.2,1007.9832,334.15,Critical
255,First Class,Corporate,LATAM,Furniture,1269.6,4,0.0,355.44,333.15,High
256,Standard Class,Consumer,APAC,Furniture,2993.025,5,0.3,726.825,333.06,Medium
257,Same Day,Home Office,EU,Technology,815.949,3,0.15,287.919,333.02,Critical
258,Second Class,Consumer,EU,Technology,1245.0,4,0.0,161.76,332.96,Critical
259,Same Day,Consumer,APAC,Technology,1027.728,8,0.1,182.688,332.2,Critical
260,Standard Class,Consumer,APAC,Technology,1703.025,5,0.1,737.925,332.14,Low
261,Second Class,Consumer,APAC,Office Supplies,1803.0837,11,0.17,-130.3863,332.13,High
262,First Class,Corporate,EU,Furniture,676.485,5,0.1,195.285,330.51,Critical
263,First Class,Corporate,APAC,Furniture,969.36,7,0.0,348.81,330.01,Critical
264,Same Day,Corporate,EU,Furniture,1637.01,5,0.1,90.81,329.73,High
265,First Class,Consumer,LATAM,Technology,1655.96144,7,0.002,13.20144,329.58,High
266,First Class,Corporate,LATAM,Furniture,976.96,4,0.2,232.0,328.66,Critical
267,First Class,Corporate,APAC,Furniture,731.34,2,0.0,175.5,328.35,Critical
268,First Class,Consumer,Africa,Office Supplies,1239.0,4,0.0,0.0,327.94,Critical
269,Second Class,Home Office,APAC,Furniture,1680.606,5,0.27,368.256,327.81,High
270,First Class,Consumer,APAC,Furniture,2190.75,5,0.0,65.7,327.55,Medium
271,Second Class,Consumer,EU,Office Supplies,1026.96,8,0.0,441.36,326.35,Critical
272,Second Class,Consumer,APAC,Technology,2550.0,4,0.0,280.44,326.32,High
273,Second Class,Corporate,APAC,Technology,2667.537,5,0.17,-417.813,326.27,Medium
274,Second Class,Consumer,EU,Technology,2605.92,4,0.0,1042.32,326.05,High
275,First Class,Consumer,EMEA,Office Supplies,2962.68,14,0.0,207.06,325.93,Medium
276,Standard Class,Consumer,APAC,Furniture,2664.0,5,0.0,905.7,325.54,Medium
277,First Class,Consumer,EU,Technology,1513.56,4,0.0,741.6,325.45,Critical
278,Second Class,Corporate,EU,Furniture,1233.63,3,0.0,234.36,325.32,Critical
279,First Class,Consumer,EMEA,Furniture,855.15,1,0.0,384.81,325.04,Critical
280,Standard Class,Corporate,US,Office Supplies,1801.632,6,0.2,-337.806,324.93,High
281,Standard Class,Consumer,EU,Furniture,1838.52,5,0.2,160.77,324.09,Low
282,Standard Class,Home Office,APAC,Technology,4498.83,7,0.0,674.73,323.75,Medium
283,Second Class,Consumer,EU,Technology,1824.144,8,0.65,-1303.056,321.54,High
284,First Class,Consumer,LATAM,Furniture,2344.0,8,0.0,46.88,321.42,High
285,Second Class,Consumer,APAC,Technology,2043.72,14,0.0,756.0,321.36,High
286,Same Day,Corporate,Africa,Office Supplies,856.8,14,0.0,265.44,321.23,Critical
287,Standard Class,Corporate,LATAM,Office Supplies,2509.36,7,0.0,426.58,320.96,High
288,First Class,Consumer,APAC,Furniture,819.936,2,0.1,191.316,320.92,Critical
289,Standard Class,Consumer,LATAM,Furniture,2797.248,6,0.2,-0.072,320.38,Low
290,Second Class,Corporate,APAC,Furniture,2189.0898,6,0.07,541.3698,320.28,High
291,Standard Class,Home Office,APAC,Furniture,5451.3,6,0.0,327.06,320.27,Medium
292,First Class,Corporate,EMEA,Technology,1291.08,2,0.0,296.94,319.58,Critical
293,First Class,Corporate,APAC,Technology,1526.52,4,0.0,732.72,319.53,High
294,First Class,Home Office,US,Technology,1079.85,3,0.0,323.955,319.04,High
295,Standard Class,Home Office,LATAM,Furniture,1869.72,6,0.0,205.56,318.17,Low
296,Second Class,Consumer,LATAM,Furniture,1815.24,7,0.0,471.94,318.08,High
297,First Class,Corporate,APAC,Technology,959.76,3,0.0,460.62,317.81,Critical
298,Second Class,Consumer,LATAM,Technology,3045.84,7,0.0,1035.58,317.17,High
299,Standard Class,Home Office,LATAM,Technology,2125.0,5,0.0,297.5,316.76,Low
300,First Class,Consumer,Africa,Technology,976.08,4,0.0,292.8,316.66,Critical
301,First Class,Consumer,APAC,Technology,1266.36,4,0.0,265.92,316.59,High
302,Standard Class,Corporate,US,Furniture,1458.65,5,0.0,423.0085,315.73,High
303,Second Class,Home Office,Africa,Furniture,2134.44,4,0.0,682.92,315.57,Critical
304,Standard Class,Corporate,EU,Technology,4748.436,14,0.1,844.116,315.29,Medium
305,Second Class,Corporate,Africa,Technology,1867.5,6,0.0,242.64,314.81,High
306,First Class,Home Office,APAC,Furniture,1001.7,6,0.0,250.38,314.7,High
307,Standard Class,Home Office,APAC,Office Supplies,4306.32,8,0.0,1722.48,314.15,Medium
308,First Class,Home Office,APAC,Office Supplies,899.55,3,0.0,323.82,313.71,Critical
309,Standard Class,Consumer,EU,Technology,2544.24,4,0.0,1093.92,313.58,High
310,Second Class,Consumer,APAC,Furniture,1136.664,4,0.4,-189.456,313.52,Critical
311,Standard Class,Corporate,APAC,Furniture,2301.0,5,0.0,91.95,313.45,High
312,Second Class,Consumer,Africa,Technology,3908.88,6,0.0,1563.48,313.31,Medium
313,Standard Class,Corporate,US,Furniture,1951.84,8,0.0,585.552,312.22,High
314,Standard Class,Consumer,US,Technology,2479.96,4,0.0,743.988,312.14,High
315,Standard Class,Consumer,APAC,Office Supplies,2249.16,4,0.0,224.88,311.14,High
316,Standard Class,Corporate,LATAM,Office Supplies,2528.26,7,0.0,176.96,310.75,High
317,Standard Class,Consumer,LATAM,Technology,3045.84,7,0.0,1035.58,309.75,High
318,Second Class,Consumer,US,Furniture,3785.292,6,0.1,420.588,309.69,Medium
319,First Class,Consumer,APAC,Furniture,2152.956,8,0.35,198.636,309.11,Medium
320,First Class,Consumer,EU,Technology,1244.1,5,0.0,447.75,309.0,High
321,Same Day,Corporate,LATAM,Furniture,2226.816,9,0.2,500.976,308.66,High
322,Second Class,Consumer,APAC,Furniture,1586.412,4,0.1,17.532,307.98,High
